instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,unused.vehi,cost.GA,cost.LP,gap,selection
HHCRSP_25_5_100_1.6_R_RC,1.6_R_RC,100,25,5,1.6,R,RC,0,177.3,88.6777,99.9375265709418,sample
HHCRSP_50_10_49_0.4_C_RC,0.4_C_RC,49,50,10,0.4,C,RC,0,931.7,142.358,554.476741735624,hardest
HHCRSP_50_10_81_0.4_R_RC,0.4_R_RC,81,50,10,0.4,R,RC,1,988.3,127.363,675.971043395649,hardest
HHCRSP_50_10_5_1.0_R_C,1.0_R_C,5,50,10,1,R,C,1,329,51.6716,536.713397688479,hardest
HHCRSP_50_10_45_1.2_R_C,1.2_R_C,45,50,10,1.2,R,C,2,271.7,43.0013,531.841362935539,hardest
HHCRSP_50_10_28_1.6_R_C,1.6_R_C,28,50,10,1.6,R,C,1,339.3,46.6707,627.008594257211,hardest
HHCRSP_50_10_47_1.6_R_C,1.6_R_C,47,50,10,1.6,R,C,2,290.7,27.003,976.547050327741,hardest
HHCRSP_50_10_59_1.6_R_C,1.6_R_C,59,50,10,1.6,R,C,1,329.7,53.3553,517.932988850217,hardest
HHCRSP_50_10_85_1.6_R_C,1.6_R_C,85,50,10,1.6,R,C,3,281.7,44.3333,535.414011589482,hardest
HHCRSP_50_10_90_1.6_R_C,1.6_R_C,90,50,10,1.6,R,C,2,279.3,39.0191,615.80328608297,hardest
HHCRSP_50_10_94_1.6_R_C,1.6_R_C,94,50,10,1.6,R,C,1,283,45.0039,528.83438990843,hardest
HHCRSP_50_10_11_0.4_C_R,0.4_C_R,11,50,10,0.4,C,R,0,341.7,134.669,153.733227394575,sample
HHCRSP_50_10_88_0.4_R_RC,0.4_R_RC,88,50,10,0.4,R,RC,1,286.3,115.333,148.237711669687,sample
HHCRSP_50_10_51_0.8_C_C,0.8_C_C,51,50,10,0.8,C,C,0,110,60.0027,83.3250837045666,sample
HHCRSP_50_10_26_0.8_C_R,0.8_C_R,26,50,10,0.8,C,R,0,336.3,114.34,194.122791673955,sample
HHCRSP_50_10_62_1.0_C_C,1.0_C_C,62,50,10,1,C,C,0,103.7,53.0059,95.6385987220291,sample
HHCRSP_50_10_52_1.0_R_C,1.0_R_C,52,50,10,1,R,C,0,213,46.0056,362.987114612134,sample
HHCRSP_50_10_58_1.2_R_C,1.2_R_C,58,50,10,1.2,R,C,1,149,54.6667,172.560809414141,sample
HHCRSP_50_10_11_1.2_R_R,1.2_R_R,11,50,10,1.2,R,R,0,345.3,131.361,162.863406947267,sample
HHCRSP_50_10_61_1.6_C_R,1.6_C_R,61,50,10,1.6,C,R,0,266.7,119.667,122.868459976435,sample
HHCRSP_50_10_98_1.6_R_RC,1.6_R_RC,98,50,10,1.6,R,RC,0,257,103.336,148.703259270729,sample
HHCRSP_75_15_78_1.0_R_C,1.0_R_C,78,75,15,1,R,C,4,478.7,59.0027,711.31880405473,hardest
HHCRSP_75_15_96_1.0_R_C,1.0_R_C,96,75,15,1,R,C,1,436.3,52,739.038461538462,hardest
HHCRSP_75_15_7_1.2_R_C,1.2_R_C,7,75,15,1.2,R,C,4,419.7,65,545.692307692308,hardest
HHCRSP_75_15_67_1.2_R_C,1.2_R_C,67,75,15,1.2,R,C,4,424.7,65,553.384615384615,hardest
HHCRSP_75_15_7_1.6_R_C,1.6_R_C,7,75,15,1.6,R,C,3,366.3,55,566,hardest
HHCRSP_75_15_35_1.6_R_C,1.6_R_C,35,75,15,1.6,R,C,3,1047.3,67.3413,1455.21203184376,hardest
HHCRSP_75_15_68_1.6_R_C,1.6_R_C,68,75,15,1.6,R,C,3,361.7,52,595.576923076923,hardest
HHCRSP_75_15_82_1.6_R_C,1.6_R_C,82,75,15,1.6,R,C,4,383.3,54.6678,601.144000673157,hardest
HHCRSP_75_15_91_1.6_R_C,1.6_R_C,91,75,15,1.6,R,C,2,353.3,51,592.745098039216,hardest
