instance,logfile,time,iters,lb
InstanzCPLEX_HCSRP_25_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_6.log,0.01,77,1.1977495343e+02
InstanzCPLEX_HCSRP_75_8.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_8.log,0.52,483,2.6290129337e+02
InstanzVNS_HCSRP_100_9.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_9.log,0.86,579,2.7074939333e+02
InstanzVNS_HCSRP_300_8.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_8.log,93.06,1757,4.6190327333e+02
InstanzCPLEX_HCSRP_75_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_3.log,0.42,460,2.3130769662e+02
InstanzCPLEX_HCSRP_50_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_7.log,0.12,206,1.9021215126e+02
InstanzCPLEX_HCSRP_10_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_6.log,0.00,43,7.8888609750e+01
InstanzCPLEX_HCSRP_10_8.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_8.log,0.00,34,1.3083037464e+02
InstanzVNS_HCSRP_200_6.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_6.log,10.97,919,3.3105412667e+02
InstanzVNS_HCSRP_300_3.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_3.log,72.51,1913,4.5439448667e+02
InstanzVNS_HCSRP_300_1.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_1.log,95.69,1615,4.4414421667e+02
InstanzCPLEX_HCSRP_50_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_4.log,0.07,196,2.2454210667e+02
InstanzCPLEX_HCSRP_25_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_3.log,0.01,85,1.5919284269e+02
InstanzVNS_HCSRP_200_2.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_2.log,14.00,1203,3.7462401667e+02
InstanzVNS_HCSRP_100_8.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_8.log,0.96,560,2.7991256752e+02
InstanzCPLEX_HCSRP_25_5.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_5.log,0.01,69,1.7704252238e+02
InstanzCPLEX_HCSRP_50_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_3.log,0.09,224,1.9731791579e+02
InstanzCPLEX_HCSRP_10_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_4.log,0.00,39,6.2451988140e+01
InstanzVNS_HCSRP_200_5.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_5.log,15.08,1198,3.7507298757e+02
InstanzVNS_HCSRP_100_2.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_2.log,0.96,527,2.9375235667e+02
InstanzVNS_HCSRP_300_7.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_7.log,78.87,1624,4.4910665000e+02
InstanzCPLEX_HCSRP_25_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_1.log,0.01,57,1.6306352615e+02
InstanzVNS_HCSRP_100_10.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_10.log,1.01,492,2.5232628401e+02
InstanzCPLEX_HCSRP_50_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_1.log,0.10,149,2.3777891846e+02
InstanzVNS_HCSRP_100_4.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_4.log,1.11,523,2.5619476000e+02
InstanzCPLEX_HCSRP_10_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_1.log,0.00,40,1.4907766734e+02
InstanzCPLEX_HCSRP_25_2.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_2.log,0.01,70,2.2174031888e+02
InstanzVNS_HCSRP_100_3.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_3.log,0.97,626,2.9279602418e+02
InstanzCPLEX_HCSRP_10_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_7.log,0.00,28,1.0323459703e+02
InstanzVNS_HCSRP_300_4.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_4.log,100.98,1450,4.5133041000e+02
InstanzCPLEX_HCSRP_10_5.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_5.log,0.00,41,8.0734874936e+01
InstanzVNS_HCSRP_200_4.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_4.log,14.84,1015,3.7910541000e+02
InstanzVNS_HCSRP_300_5.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_5.log,77.31,1567,4.3910993000e+02
InstanzCPLEX_HCSRP_25_8.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_8.log,0.01,96,1.6396364299e+02
InstanzCPLEX_HCSRP_75_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_6.log,0.39,310,2.3161488433e+02
InstanzCPLEX_HCSRP_25_10.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_10.log,0.01,56,1.8910979247e+02
InstanzVNS_HCSRP_300_6.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_6.log,105.14,1180,4.6114667333e+02
InstanzVNS_HCSRP_100_7.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_7.log,1.23,452,2.6632543667e+02
InstanzCPLEX_HCSRP_50_8.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_8.log,0.09,233,1.9490711582e+02
InstanzVNS_HCSRP_200_10.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_10.log,14.97,1287,3.7629187552e+02
InstanzVNS_HCSRP_100_6.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_6.log,1.05,607,2.5417983000e+02
InstanzCPLEX_HCSRP_50_2.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_2.log,0.08,217,1.9572843361e+02
InstanzVNS_HCSRP_300_9.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_9.log,76.51,1407,4.5930274667e+02
InstanzCPLEX_HCSRP_50_10.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_10.log,0.07,232,2.3689574148e+02
InstanzCPLEX_HCSRP_75_9.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_9.log,0.30,339,2.3812412113e+02
InstanzCPLEX_HCSRP_25_9.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_9.log,0.01,73,1.2058339792e+02
InstanzCPLEX_HCSRP_75_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_4.log,0.32,389,2.2434670653e+02
InstanzVNS_HCSRP_200_8.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_8.log,13.32,1024,3.6684583159e+02
InstanzCPLEX_HCSRP_75_10.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_10.log,0.25,459,3.0260843451e+02
InstanzCPLEX_HCSRP_10_2.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_2.log,0.00,53,1.4469027571e+02
InstanzVNS_HCSRP_300_2.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_2.log,104.77,1425,4.5282899000e+02
InstanzVNS_HCSRP_200_3.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_3.log,12.25,1069,3.6637932333e+02
InstanzVNS_HCSRP_200_1.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_1.log,12.62,1306,3.7780537000e+02
InstanzCPLEX_HCSRP_75_1.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_1.log,0.41,377,2.8089674784e+02
InstanzCPLEX_HCSRP_50_9.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_9.log,0.10,171,1.8784098830e+02
